Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Henrik Stenson,60,75.19,2018,291.5,73.51,29.93,60.67,69.617,868,,5,-0.207,1.153,0.427,0.96,-0.027,"$2,680,487 "
Ryan Armour,109,73.58,2018,283.5,68.22,29.31,60.13,70.758,"1,006",1,3,-0.058,0.337,-0.012,0.213,0.194,"$2,485,203 "
Chez Reavie,93,72.24,2018,286.5,68.67,29.12,62.27,70.432,"1,020",,3,0.192,0.674,0.183,0.437,-0.137,"$2,700,018 "
Ryan Moore,78,71.94,2018,289.2,68.8,29.17,64.16,70.015,795,,5,-0.271,0.941,0.406,0.532,0.273,"$1,986,608 "
Brian Stuard,103,71.44,2018,278.9,67.12,29.11,59.23,71.038,421,,3,0.164,0.062,-0.227,0.099,0.026,"$1,089,763 "
Brian Gay,103,71.37,2018,282.9,64.52,28.25,63.26,70.28,880,,6,0.442,0.565,-0.166,0.036,0.253,"$2,152,501 "
Kyle Stanley,93,71.29,2018,295.7,71.09,29.89,54.8,70.404,"1,198",,5,0.037,0.686,0.378,0.298,-0.027,"$3,916,001 "
Emiliano Grillo,94,70.16,2018,295.2,68.84,29.04,61.05,70.152,901,,5,0.546,1.133,0.364,0.345,-0.122,"$2,493,163 "
Russell Henley,77,70.03,2018,293,68.77,29.8,54.33,70.489,569,,3,0.167,0.541,0.093,0.467,-0.186,"$1,516,438 "
Jim Furyk,50,69.91,2018,280.5,63.19,28.73,62.58,70.342,291,,2,0.389,0.412,-0.392,0.179,0.235,"$660,010 "
Steve Wheatcroft,60,69.79,2018,288.9,66.57,29.29,61.03,71.631,138,,1,-0.128,-0.339,0.112,-0.065,-0.258,"$309,656 "
Kevin Streelman,94,69.11,2018,295.1,71.56,29.67,60.93,70.436,673,,5,-0.25,0.619,0.439,0.415,0.014,"$1,523,642 "
C.T. Pan,104,68.98,2018,292.7,71.2,29.66,56.89,70.457,693,,1,-0.067,0.478,0.215,0.267,0.063,"$1,881,787 "
David Lingmerth,82,68.93,2018,285.4,63.03,28.5,58.57,71.043,274,,,0.229,-0.007,0.006,-0.16,-0.081,"$616,758 "
Keegan Bradley,98,67.9,2018,299.6,69.18,29.68,56.78,70.303,872,,4,-0.358,0.793,0.237,0.888,0.026,"$4,069,464 "
Rafa Cabrera Bello,75,67.85,2018,295.1,70.16,29.47,57.98,69.887,784,,4,0.273,1.112,0.256,0.487,0.096,"$2,449,869 "
Billy Horschel,86,67.8,2018,295.4,71.75,29.46,58.03,70.154,960,1,3,0.392,1.112,0.538,0.352,-0.169,"$4,315,200 "
Russell Knox,94,67.7,2018,291.7,69.57,29.7,59.43,70.568,585,,3,-0.088,0.383,0.059,0.263,0.149,"$1,424,030 "
Ben Crane,65,67.52,2018,281.1,64.88,28.69,63,71.097,267,,1,0.332,0.176,-0.302,-0.038,0.184,"$620,646 "
Vaughn Taylor,83,67.51,2018,286.1,67.02,29.15,59.91,70.692,445,,3,-0.08,0.219,-0.005,0.305,-0.002,"$965,691 "
Brian Harman,94,67.14,2018,291.9,67.59,29.29,56.95,70.536,"1,056",,8,0.273,0.29,0.137,-0.024,-0.096,"$2,733,463 "
Sam Ryder,82,66.91,2018,297.3,72.08,29.88,56.47,70.914,442,,3,-0.349,0.154,0.203,0.399,-0.099,"$1,046,166 "
"Ted Potter, Jr.",87,66.83,2018,286,63.03,28.45,57.51,71.024,744,1,1,0.074,-0.094,-0.074,-0.2,0.105,"$1,976,198 "
Austin Cook,107,66.76,2018,292.3,66.51,28.72,62.02,70.469,"1,060",1,3,0.315,0.569,0.12,-0.045,0.179,"$2,448,920 "
Tyler Duncan,97,66.74,2018,294.4,69.65,30.19,52.76,71.04,457,,2,-0.566,0.017,0.273,0.476,-0.166,"$944,021 "
David Hearn,66,66.63,2018,285.1,68.89,29.58,55.65,71.325,315,,2,-0.127,-0.031,-0.17,0.379,-0.113,"$622,383 "
Alex Cejka,77,66.49,2018,286.7,63.77,28.52,64,70.675,502,,2,0.009,0.312,-0.024,-0.169,0.495,"$1,198,541 "
Ian Poulter,73,66.41,2018,293.6,67.01,28.97,57.11,70.593,"1,030",1,4,0.223,0.85,0.141,0.435,0.051,"$2,714,450 "
Joel Dahmen,93,66.36,2018,295.8,68.82,29.26,63.31,70.578,676,,3,-0.277,0.4,0.3,0.381,-0.004,"$1,476,838 "
Kevin Kisner,89,66.33,2018,290.8,65.38,28.91,60.29,70.729,971,,4,0.513,0.037,-0.043,-0.316,-0.118,"$2,972,285 "
J.J. Henry,81,66.22,2018,291.8,70.52,30.37,54.77,71.372,239,,1,-0.569,-0.193,0.174,0.34,-0.138,"$482,052 "
J.J. Spaun,85,66.18,2018,298.2,69.48,29.63,55.76,70.525,849,,4,-0.149,0.292,0.286,0.41,-0.255,"$1,978,906 "
Justin Rose,70,66.02,2018,303.5,69.95,28.67,63.03,68.993,"1,991",2,8,0.424,1.952,0.551,0.526,0.45,"$8,130,678 "
Kelly Kraft,94,65.84,2018,288.6,63.83,28.92,58.93,71.333,627,,3,0.075,-0.32,-0.286,0.017,-0.126,"$1,496,253 "
Conrad Shindler,60,65.77,2018,291.3,66.27,29.14,60,71.465,92,,,-0.166,-0.313,0.114,-0.008,-0.252,"$187,399 "
Scott Piercy,84,65.68,2018,296.6,69.72,29.86,55.96,70.736,802,1,2,-0.569,0.29,0.209,0.553,0.097,"$1,882,337 "
Adam Hadwin,92,65.6,2018,289.4,68.04,29.26,58.59,70.75,638,,3,0.106,0.596,0.057,0.166,0.267,"$1,932,488 "
Ben Silverman,90,65.56,2018,290.2,64.95,28.74,57.36,71.281,323,,2,0.238,-0.206,0.069,-0.385,-0.128,"$793,140 "
Satoshi Kodaira,51,65.53,2018,293.6,60.3,29.88,51.02,72.182,600,1,1,-0.645,-1.832,0.027,-0.284,-0.93,"$1,471,462 "
Rickie Fowler,74,65.33,2018,299.8,69.52,28.99,63.05,69.435,"1,302",,4,0.296,1.275,0.244,0.494,0.242,"$4,235,237 "
Xinjun Zhang,81,65.33,2018,298.7,67.04,29.67,58.2,71.486,195,,1,-0.437,-0.734,0.139,-0.254,-0.182,"$420,377 "
Kiradech Aphibarnrat,51,65.12,2018,294.7,62.2,28.93,55.59,70.629,,,,0.138,0.511,0.485,-0.247,0.135,
Pat Perez,82,65.09,2018,290.9,67.78,29.29,55.63,70.594,"1,116",1,4,0.115,-0.048,-0.063,-0.138,0.037,"$2,962,641 "
Lucas Glover,65,65.06,2018,297.7,67.12,29.64,59.83,71.066,324,,1,-0.186,0.276,0.514,-0.043,-0.008,"$789,382 "
Richy Werenski,98,65.06,2018,291.8,66.97,29.36,56.49,71.185,498,,2,-0.109,-0.124,0.077,-0.169,0.077,"$1,081,283 "
Hunter Mahan,67,65.04,2018,296.9,68.96,29.02,58.81,71.135,234,,1,0.346,0.209,0.465,-0.149,-0.453,"$457,337 "
Francesco Molinari,73,65.04,2018,301,70.24,29.63,58.67,69.797,"1,682",2,4,-0.487,1.123,0.69,0.593,0.327,"$5,065,842 "
Fabián Gómez,88,64.99,2018,291.1,67.86,29.38,58.85,71.02,221,,,0.001,-0.106,-0.062,-0.015,-0.03,"$437,032 "
Tommy Fleetwood,73,64.98,2018,306.9,69.36,29.3,55.77,69.342,"1,130",,5,0.324,1.606,0.58,0.405,0.296,"$3,935,147 "
Graeme McDowell,67,64.92,2018,293.2,64.5,29.2,59.95,71.001,274,,1,0.478,0.697,0.124,0.046,0.049,"$581,024 "
Louis Oosthuizen,62,64.81,2018,299.8,65.74,29.24,64.26,70.157,620,,3,-0.026,0.521,0.401,-0.261,0.408,"$1,731,493 "
Chad Campbell,87,64.7,2018,286.5,65.54,29.75,59.39,71.683,361,,2,-0.454,-0.484,-0.042,-0.01,0.023,"$801,960 "
Blayne Barber,69,64.67,2018,294.7,69.98,29.66,57.46,70.835,202,,,-0.022,-0.041,0.101,-0.047,-0.073,"$398,137 "
Michael Thompson,62,64.66,2018,296.4,70.11,29.62,55.77,70.924,280,,,0.498,0.052,-0.073,-0.423,0.05,"$563,972 "
Chris Kirk,108,64.64,2018,289.8,68.24,28.9,63.53,70.411,756,,4,0.073,0.732,-0.048,0.518,0.19,"$1,824,111 "
Daniel Berger,81,64.58,2018,297.7,66.89,29.42,58.94,70.32,565,,1,0.319,0.816,0.1,0.543,-0.145,"$1,721,763 "
Hudson Swafford,73,64.57,2018,302.8,68.99,30.03,54.01,71.619,245,,,-0.26,-0.492,0.225,-0.237,-0.221,"$569,391 "
Bronson Burgoon,69,64.53,2018,302.8,68.44,29.55,55.61,70.701,446,,2,0.107,0.481,0.309,0.371,-0.307,"$1,179,616 "
Brice Garnett,99,64.45,2018,296.7,66.78,29.34,58.63,71.018,634,1,2,-0.076,-0.31,0.188,-0.144,-0.278,"$1,466,224 "
Ryan Blaum,81,64.31,2018,289,66.1,29.13,55.46,70.993,433,,2,0.025,-0.033,0.011,-0.074,0.005,"$980,877 "
